CustomerId,Recency,Frequency,MonetaryValue,R_quartile,F_quartile,M_quartile,RFM,Segment
12575.0,93,2,622.8199999999999,3,2,2,322,Normal
12576.0,28,3,826.89,2,3,3,233,Normal
12577.0,17,5,990.5,1,3,3,133,Normal
12578.0,21,2,1847.94,2,2,4,224,BigSpenders
12580.0,212,1,637.2,4,1,2,412,Normal
12582.0,58,2,1469.04,3,2,3,323,Normal
12583.0,9,13,7166.0599999999995,1,4,4,144,Best
12586.0,10,3,1865.73,1,3,4,134,BigSpenders
12588.0,35,3,743.88,2,3,3,233,Normal
12589.0,57,6,4048.98,3,4,4,344,AlmostLost
12591.0,26,2,886.1,2,2,3,223,Normal
12592.0,155,3,2145.06,4,3,4,434,BigSpenders
12594.0,14,5,1751.89,1,3,4,134,BigSpenders
12595.0,140,1,299.02,4,1,1,411,Normal
12598.0,99,3,1511.01,3,3,3,333,Normal
12599.0,17,6,1264.14,1,4,3,143,Loyal
12600.0,7,12,2444.88,1,4,4,144,Best
12601.0,40,1,104.19999999999999,2,1,1,211,Normal
12605.0,12,4,1232.95,1,3,3,133,Normal
12606.0,318,1,21.0,4,1,1,411,Normal
12608.0,40,1,415.79,2,1,2,212,Normal
12609.0,10,6,2309.01,1,4,4,144,Best
12613.0,24,5,3472.9900000000002,2,3,4,234,BigSpenders
12615.0,49,4,3449.79,2,3,4,234,BigSpenders
12616.0,24,1,417.8,2,1,2,212,Normal
12619.0,196,1,140.14,4,1,1,411,Normal
12621.0,1,16,11086.14,1,4,4,144,Best
12623.0,52,6,3442.7400000000002,2,4,4,244,Loyal
12625.0,145,2,2481.06,4,2,4,424,BigSpenders
12629.0,21,2,1558.22,2,2,3,223,Normal
12631.0,92,5,2841.07,3,3,4,334,BigSpenders
12632.0,156,2,804.88,4,2,3,423,Normal
12633.0,18,3,3514.18,1,3,4,134,BigSpenders
12634.0,171,2,490.0,4,2,2,422,Normal
12635.0,28,2,1241.23,2,2,3,223,Normal
12636.0,374,1,141.0,4,1,1,411,Normal
12637.0,14,4,2280.91,1,3,4,134,BigSpenders
12638.0,275,1,249.8,4,1,1,411,Normal
12639.0,70,2,826.27,3,2,3,323,Normal
12643.0,21,6,4960.18,2,4,4,244,Loyal
12644.0,66,3,1440.58,3,3,3,333,Normal
12645.0,45,4,1764.12,2,3,4,234,BigSpenders
12647.0,3,27,14201.53,1,4,4,144,Best
12648.0,73,3,793.95,3,3,3,333,Normal
12649.0,18,5,1671.1399999999999,1,3,3,133,Normal
12651.0,14,3,263.75,1,3,1,131,Normal
12652.0,70,1,97.05000000000001,3,1,1,311,Normal
12653.0,162,1,1950.98,4,1,4,414,BigSpenders
12655.0,59,1,261.35,3,1,1,311,Normal
12656.0,61,3,2356.66,3,3,4,334,BigSpenders
12661.0,72,1,162.0,3,1,1,311,Normal
12662.0,9,10,3138.2400000000002,1,4,4,144,Best
12663.0,260,2,239.4,4,2,1,421,Normal
12664.0,150,2,1188.16,4,2,3,423,Normal
12665.0,53,2,250.6,2,2,1,221,Normal
12666.0,30,1,1248.42,2,1,3,213,Normal
12668.0,14,6,7575.88,1,4,4,144,Best
12670.0,21,2,764.24,2,2,3,223,Normal
12671.0,242,1,2622.481,4,1,4,414,BigSpenders
12672.0,231,1,211.15,4,1,1,411,Normal
12673.0,37,1,619.5,2,1,2,212,Normal
12675.0,189,2,957.25,4,2,3,423,Normal
12676.0,44,5,1511.7,2,3,3,233,Normal
12677.0,191,2,395.1,4,2,2,422,Normal
12678.0,11,9,16652.72,1,4,4,144,Best
12681.0,3,24,17080.74,1,4,4,144,Best
12682.0,1,23,11745.69,1,4,4,144,Best
12683.0,1,8,4220.21,1,4,4,144,Best
12686.0,7,1,89.14,1,1,1,111,Normal
12687.0,116,2,2138.91,3,2,4,324,BigSpenders
12691.0,56,1,134.6,3,1,1,311,Normal
12692.0,273,1,110.95,4,1,1,411,Normal
12693.0,32,3,847.11,2,3,3,233,Normal
12694.0,57,1,973.68,3,1,3,313,Normal
12695.0,164,3,825.02,4,3,3,433,Normal
12696.0,70,2,851.91,3,2,3,323,Normal
12698.0,226,1,339.75,4,1,2,412,Normal
12699.0,53,1,638.11,2,1,2,212,Normal
12701.0,165,4,1648.7,4,3,3,433,Normal
12703.0,269,3,722.98,4,3,3,433,Normal
12705.0,19,5,4893.81,2,3,4,234,BigSpenders
12708.0,4,9,2601.19,1,4,4,144,Best
12709.0,2,20,21107.94,1,4,4,144,Best
12711.0,247,2,1339.05,4,2,3,423,Normal
12712.0,1,10,2797.53,1,4,4,144,Best
12714.0,24,7,9384.85,2,4,4,244,Loyal
12717.0,226,1,277.93,4,1,1,411,Normal
12720.0,5,6,2478.94,1,4,4,144,Best
12721.0,21,2,1356.95,2,2,3,223,Normal
12724.0,19,3,1286.11,2,3,3,233,Normal
12725.0,7,4,2266.76,1,3,4,134,BigSpenders
12726.0,23,4,1405.5,2,3,3,233,Normal
12727.0,78,3,1698.8300000000002,3,3,3,333,Normal
12728.0,19,1,233.84,2,1,1,211,Normal
12730.0,157,1,829.25,4,1,3,413,Normal
12731.0,78,5,6879.8,3,3,4,334,BigSpenders
12733.0,25,3,2040.92,2,3,4,234,BigSpenders
12734.0,10,2,529.25,1,2,2,122,Normal
12737.0,134,2,3710.5,3,2,4,324,BigSpenders
12738.0,8,1,155.35,1,1,1,111,Normal
12739.0,21,2,1713.69,2,2,3,223,Normal
12741.0,165,2,406.07,4,2,2,422,Normal
12742.0,261,1,1201.52,4,1,3,413,Normal
12744.0,95,4,4037.77,3,3,4,334,BigSpenders
12745.0,122,3,925.41,3,3,3,333,Normal
12746.0,176,1,254.55,4,1,1,411,Normal
12747.0,5,16,5061.03,1,4,4,144,Best
12748.0,1,144,22457.9,1,4,4,144,Best
12749.0,35,4,2806.48,2,3,4,234,BigSpenders
12751.0,80,1,268.27,3,1,1,311,Normal
12755.0,1,10,5218.709999999999,1,4,4,144,Best
12758.0,95,5,7111.650000000001,3,3,4,334,BigSpenders
12759.0,22,5,3489.3,2,3,4,234,BigSpenders
12760.0,91,1,347.8,3,1,2,312,Normal
12761.0,93,2,782.95,3,2,3,323,Normal
12763.0,5,1,320.08,1,1,2,112,Normal
12765.0,108,6,1404.58,3,4,3,343,Loyal
12766.0,2,3,3078.65,1,3,4,134,BigSpenders
12767.0,11,1,949.82,1,1,3,113,Normal
12768.0,86,1,168.69000000000003,3,1,1,311,Normal
12770.0,92,1,1895.0,3,1,4,314,BigSpenders
12771.0,121,1,282.3,3,1,1,311,Normal
12773.0,200,1,124.25,4,1,1,411,Normal
12774.0,171,1,98.7,4,1,1,411,Normal
12775.0,24,2,300.08,2,2,1,221,Normal
12776.0,303,1,55.5,4,1,1,411,Normal
12777.0,93,1,519.45,3,1,2,312,Normal
12778.0,32,3,953.45,2,3,3,233,Normal
12779.0,7,7,2740.91,1,4,4,144,Best
12780.0,234,1,337.4,4,1,2,412,Normal
12782.0,10,6,2287.32,1,4,4,144,Best
12784.0,165,1,1230.33,4,1,3,413,Normal
12785.0,171,2,788.45,4,2,3,423,Normal
12786.0,245,1,728.5,4,1,3,413,Normal
12787.0,49,1,398.52,2,1,2,212,Normal
12788.0,99,4,444.9,3,3,2,332,Normal
12789.0,148,2,181.5,4,2,1,421,Normal
12790.0,46,1,266.93,2,1,1,211,Normal
12791.0,9,6,863.51,1,4,3,143,Loyal
12792.0,170,1,426.47,4,1,2,412,Normal
12793.0,7,2,471.85,1,2,2,122,Normal
12796.0,264,1,381.0,4,1,2,412,Normal
12797.0,1,2,552.08,1,2,2,122,Normal
12798.0,57,1,1533.8899999999999,3,1,3,313,Normal
12799.0,165,1,219.35,4,1,1,411,Normal
12800.0,106,3,584.25,3,3,2,332,Normal
12801.0,136,1,1071.82,3,1,3,313,Normal
12802.0,78,6,1988.84,3,4,4,344,AlmostLost
12803.0,29,1,1092.81,2,1,3,213,Normal
12804.0,101,2,325.37,3,2,2,322,Normal
12805.0,17,4,1434.95,1,3,3,133,Normal
12806.0,71,4,2878.96,3,3,4,334,BigSpenders
12807.0,19,1,330.35,2,1,2,212,Normal
12808.0,4,3,422.45,1,3,2,132,Normal
12809.0,201,2,1266.63,4,2,3,423,Normal
12810.0,170,2,534.99,4,2,2,422,Normal
12811.0,14,2,519.05,1,2,2,122,Normal
12813.0,137,3,1687.8,4,3,3,433,Normal
12817.0,35,2,524.94,2,2,2,222,Normal
12819.0,94,1,540.52,3,1,2,312,Normal
12820.0,33,7,1747.18,2,4,4,244,Loyal
12821.0,247,1,128.07999999999998,4,1,1,411,Normal
12823.0,30,13,4742.0,2,4,4,244,Loyal
12825.0,157,2,518.63,4,2,2,422,Normal
12826.0,1,6,1481.03,1,4,3,143,Loyal
12829.0,186,1,92.30000000000001,4,1,1,411,Normal
12831.0,99,2,236.06,3,2,1,321,Normal
12835.0,63,41,5996.83,3,4,4,344,AlmostLost
12836.0,25,11,3949.37,2,4,4,244,Loyal
12837.0,205,1,528.5600000000001,4,1,2,412,Normal
12838.0,9,9,2694.75,1,4,4,144,Best
12839.0,3,13,4480.31,1,4,4,144,Best
12840.0,73,3,1315.2,3,3,3,333,Normal
12841.0,5,17,3472.61,1,4,4,144,Best
12842.0,40,2,799.0,2,2,3,223,Normal
12843.0,18,22,4881.1,1,4,4,144,Best
12844.0,78,2,322.64,3,2,2,322,Normal
12846.0,318,1,15.58,4,1,1,411,Normal
12847.0,23,1,765.36,2,1,3,213,Normal
12848.0,311,1,208.0,4,1,1,411,Normal
12849.0,17,4,2032.18,1,3,4,134,BigSpenders
12850.0,81,1,330.0,3,1,2,312,Normal
12851.0,113,1,148.95,3,1,1,311,Normal
12853.0,63,5,1950.4,3,3,4,334,BigSpenders
12854.0,197,4,1654.72,4,3,3,433,Normal
12855.0,8,4,612.84,1,3,2,132,Normal
12857.0,72,4,2581.6,3,3,4,334,BigSpenders
12858.0,19,1,147.27,2,1,1,211,Normal
12859.0,94,1,575.1,3,1,2,312,Normal
12860.0,329,1,54.22,4,1,1,411,Normal
12861.0,255,1,68.25,4,1,1,411,Normal
12862.0,61,2,984.62,3,2,3,323,Normal
12863.0,15,5,2271.35,1,3,4,134,BigSpenders
12864.0,144,1,152.45,4,1,1,411,Normal
12865.0,14,2,1755.24,1,2,4,124,BigSpenders
12866.0,110,2,668.23,3,2,2,322,Normal
12867.0,33,6,3819.92,2,4,4,244,Loyal
12868.0,9,3,640.0,1,3,2,132,Normal
12869.0,317,1,337.66999999999996,4,1,2,412,Normal
12870.0,11,3,1676.95,1,3,3,133,Normal
12871.0,75,1,363.38,3,1,2,312,Normal
12872.0,1,11,3062.52,1,4,4,144,Best
12873.0,33,2,1653.3,2,2,3,223,Normal
12874.0,21,2,948.42,2,2,3,223,Normal
12875.0,107,3,1013.76,3,3,3,333,Normal
12876.0,30,2,1863.77,2,2,4,224,BigSpenders
12877.0,37,8,1406.3700000000001,2,4,3,243,Loyal
12880.0,17,2,640.13,1,2,2,122,Normal
12887.0,19,1,222.4,2,1,1,211,Normal
12889.0,17,4,385.46000000000004,1,3,2,132,Normal
12890.0,23,1,329.3,2,1,2,212,Normal
12891.0,94,8,509.5,3,4,2,342,Loyal
12892.0,32,1,263.38,2,1,1,211,Normal
12894.0,211,1,157.35,4,1,1,411,Normal
12897.0,17,2,297.75,1,2,1,121,Normal
12898.0,99,2,296.21000000000004,3,2,1,321,Normal
12899.0,49,1,366.4,2,1,2,212,Normal
12900.0,58,1,340.33,3,1,2,312,Normal
12903.0,64,1,833.53,3,1,3,313,Normal
12905.0,212,2,1018.42,4,2,3,423,Normal
12907.0,31,2,508.91,2,2,2,222,Normal
12908.0,16,3,1026.0,1,3,3,133,Normal
12909.0,60,3,924.52,3,3,3,333,Normal
12910.0,15,5,2721.48,1,3,4,134,BigSpenders
12911.0,187,1,1651.72,4,1,3,413,Normal
12913.0,4,9,4217.2300000000005,1,4,4,144,Best
12914.0,36,1,223.98,2,1,1,211,Normal
12915.0,8,3,811.1,1,3,3,133,Normal
12916.0,78,3,1534.78,3,3,3,333,Normal
12917.0,36,5,3765.2,2,3,4,234,BigSpenders
12918.0,262,1,10953.5,4,1,4,414,BigSpenders
12920.0,207,3,323.86,4,3,2,432,Normal
12921.0,2,39,19333.95,1,4,4,144,Best
12923.0,26,2,597.6,2,2,2,222,Normal
12924.0,29,8,1535.7,2,4,3,243,Loyal
12925.0,228,1,35.28,4,1,1,411,Normal
12926.0,47,4,1523.97,2,3,3,233,Normal
12927.0,30,1,197.31,2,1,1,211,Normal
12928.0,14,7,2242.19,1,4,4,144,Best
12931.0,16,42,50291.38,1,4,4,144,Best
12932.0,175,8,1698.56,4,4,3,443,Loyal
12933.0,16,5,1029.1,1,3,3,133,Normal
12934.0,372,1,181.65,4,1,1,411,Normal
12935.0,11,8,2083.16,1,4,4,144,Best
12937.0,99,5,1593.34,3,3,3,333,Normal
12939.0,15,12,13683.0,1,4,4,144,Best
12941.0,360,1,377.49,4,1,2,412,Normal
12942.0,1,1,258.75,1,1,1,111,Normal
12943.0,194,2,496.5,4,2,2,422,Normal
12945.0,292,1,437.16,4,1,2,412,Normal
12946.0,72,1,324.45,3,1,2,312,Normal
12947.0,9,1,304.04,1,1,1,111,Normal
12948.0,366,2,252.48000000000002,4,2,1,421,Normal
12949.0,18,14,11359.48,1,4,4,144,Best
12951.0,22,9,2149.65,2,4,4,244,Loyal
12953.0,158,1,498.96000000000004,4,1,2,412,Normal
12954.0,274,1,162.45,4,1,1,411,Normal
12956.0,320,3,413.82,4,3,2,432,Normal
12957.0,177,5,4689.43,4,3,4,434,BigSpenders
12958.0,36,2,467.34,2,2,2,222,Normal
12959.0,120,1,150.95,3,1,1,311,Normal
12960.0,49,4,1322.07,2,3,3,233,Normal
12961.0,15,1,211.99,1,1,1,111,Normal
12963.0,1,5,1744.96,1,3,4,134,BigSpenders
12964.0,73,1,132.24,3,1,1,311,Normal
12967.0,7,2,2646.02,1,2,4,124,BigSpenders
12969.0,238,1,122.45,4,1,1,411,Normal
12970.0,16,6,1048.13,1,4,3,143,Loyal
12971.0,2,33,4782.88,1,4,4,144,Best
12972.0,49,4,1161.2,2,3,3,233,Normal
12973.0,49,1,385.55,2,1,2,212,Normal
12974.0,201,1,264.15,4,1,1,411,Normal
12975.0,72,6,2100.09,3,4,4,344,AlmostLost
12976.0,14,7,2417.7799999999997,1,4,4,144,Best
12977.0,137,3,474.64,4,3,2,432,Normal
12978.0,21,5,2502.82,2,3,4,234,BigSpenders
12979.0,365,1,517.7,4,1,2,412,Normal
12980.0,22,12,8870.880000000001,2,4,4,244,Loyal
12982.0,30,7,2354.27,2,4,4,244,Loyal
12983.0,234,1,490.08000000000004,4,1,2,412,Normal
12986.0,64,10,2729.84,3,4,4,344,AlmostLost
12987.0,56,3,753.51,3,3,3,333,Normal
12989.0,60,18,6627.64,3,4,4,344,AlmostLost
12990.0,53,4,546.0,2,3,2,232,Normal
12991.0,25,1,261.06,2,1,1,211,Normal
12992.0,361,1,93.35000000000001,4,1,1,411,Normal
12993.0,81,4,844.87,3,3,3,333,Normal
12996.0,11,1,355.5,1,1,2,112,Normal
12997.0,30,4,884.02,2,3,3,233,Normal
12998.0,128,3,920.08,3,3,3,333,Normal
13000.0,361,1,497.65000000000003,4,1,2,412,Normal
13001.0,40,20,14256.68,2,4,4,244,Loyal
13002.0,52,2,293.18,2,2,1,221,Normal
13004.0,22,18,5994.94,2,4,4,244,Loyal
13005.0,67,2,485.98,3,2,2,322,Normal
13007.0,215,1,175.25,4,1,1,411,Normal
13008.0,33,2,382.66,2,2,2,222,Normal
13009.0,308,1,234.0,4,1,1,411,Normal
13010.0,10,2,330.12,1,2,2,122,Normal
13011.0,8,1,50.550000000000004,1,1,1,111,Normal
13012.0,65,3,1310.99,3,3,3,333,Normal
13013.0,7,18,7814.83,1,4,4,144,Best
13014.0,68,1,1914.8,3,1,4,314,BigSpenders
13015.0,74,6,3240.14,3,4,4,344,AlmostLost
13018.0,49,7,2485.46,2,4,4,244,Loyal
13019.0,15,6,1229.95,1,4,3,143,Loyal
13020.0,198,2,618.96,4,2,2,422,Normal
13021.0,10,8,2270.86,1,4,4,144,Best
13022.0,65,1,65.3,3,1,1,311,Normal
13023.0,164,1,759.13,4,1,3,413,Normal
13024.0,106,2,555.87,3,2,2,322,Normal
13025.0,367,1,323.39,4,1,2,412,Normal
13026.0,124,4,757.72,3,3,3,333,Normal
13027.0,21,13,10327.2,2,4,4,244,Loyal
13029.0,10,2,679.8,1,2,2,122,Normal
13030.0,4,1,402.36,1,1,2,112,Normal
13031.0,43,5,3292.84,2,3,4,234,BigSpenders
13032.0,28,7,1805.78,2,4,4,244,Loyal
13033.0,65,1,30.0,3,1,1,311,Normal
13034.0,5,2,279.91,1,2,1,121,Normal
13035.0,67,1,442.32,3,1,2,312,Normal
13036.0,320,1,307.1,4,1,1,411,Normal
13037.0,35,9,3033.88,2,4,4,244,Loyal
13039.0,220,4,1010.73,4,3,3,433,Normal
13041.0,86,4,799.13,3,3,3,333,Normal
13042.0,234,3,1488.59,4,3,3,433,Normal
13044.0,128,10,4287.58,3,4,4,344,AlmostLost
13045.0,37,2,503.64,2,2,2,222,Normal
13046.0,92,1,319.94,3,1,2,312,Normal
13047.0,9,17,5557.62,1,4,4,144,Best
13048.0,72,5,2229.72,3,3,4,334,BigSpenders
13049.0,25,2,751.5600000000001,2,2,3,223,Normal
13050.0,2,19,6477.67,1,4,4,144,Best
13051.0,214,2,155.8,4,2,1,421,Normal
13052.0,56,6,2771.18,3,4,4,344,AlmostLost
13053.0,257,1,127.65,4,1,1,411,Normal
13055.0,65,1,1106.7,3,1,3,313,Normal
13056.0,187,1,209.48,4,1,1,411,Normal
13057.0,166,3,709.59,4,3,3,433,Normal
13059.0,49,9,2108.37,2,4,4,244,Loyal
13063.0,116,1,188.4,3,1,1,311,Normal
13064.0,186,2,561.25,4,2,2,422,Normal
13065.0,9,5,1055.05,1,3,3,133,Normal
13067.0,45,2,393.05,2,2,2,222,Normal
13069.0,5,16,5185.51,1,4,4,144,Best
13070.0,95,3,522.9,3,3,2,332,Normal
13071.0,248,1,129.22,4,1,1,411,Normal
13073.0,47,2,418.08,2,2,2,222,Normal
13074.0,147,4,1378.74,4,3,3,433,Normal
13076.0,93,1,135.4,3,1,1,311,Normal
13077.0,2,8,2326.35,1,4,4,144,Best
13078.0,2,32,16904.510000000002,1,4,4,144,Best
13079.0,53,1,199.08,2,1,1,211,Normal
13080.0,37,3,222.65,2,3,1,231,Normal
13081.0,7,19,30867.77,1,4,4,144,Best
13082.0,60,12,3722.12,3,4,4,344,AlmostLost
13083.0,61,1,91.67999999999999,3,1,1,311,Normal
13084.0,127,1,122.39999999999999,3,1,1,311,Normal
13085.0,315,6,2017.2,4,4,4,444,LostBigSpenders
13086.0,18,1,439.33000000000004,1,1,2,112,Normal
13087.0,362,1,313.64,4,1,2,412,Normal
13088.0,53,1,236.11,2,1,1,211,Normal
13089.0,4,109,57885.45,1,4,4,144,Best
13090.0,1,13,5189.32,1,4,4,144,Best
13091.0,365,2,1976.0,4,2,4,424,BigSpenders
13092.0,50,7,1662.45,2,4,3,243,Loyal
13093.0,9,48,47111.18,1,4,4,144,Best
13094.0,4,2,505.8,1,2,2,122,Normal
13096.0,30,1,419.70000000000005,2,1,2,212,Normal
13097.0,24,18,7320.88,2,4,4,244,Loyal
13101.0,134,3,594.21,3,3,2,332,Normal
13102.0,1,14,5272.83,1,4,4,144,Best
13103.0,73,2,465.70000000000005,3,2,2,322,Normal
13104.0,51,3,610.62,2,3,2,232,Normal
13105.0,72,1,72.0,3,1,1,311,Normal
13106.0,49,1,526.96,2,1,2,212,Normal
13107.0,49,5,3721.45,2,3,4,234,BigSpenders
13108.0,8,2,748.46,1,2,3,123,Normal
13109.0,187,1,347.49,4,1,2,412,Normal
13110.0,73,5,1468.8000000000002,3,3,3,333,Normal
13111.0,354,1,321.88000000000005,4,1,2,412,Normal
13112.0,177,1,20.6,4,1,1,411,Normal
13113.0,2,14,6357.08,1,4,4,144,Best
13114.0,366,1,234.38,4,1,1,411,Normal
